"AI 1 Name","AI 1 Fish Count","AI 2 Name","AI 2 Fish Count","Winner"
"MCTS HP MOTFT 1","35","Greedy Baseline 2","53","Greedy Baseline 2"
"MCTS HP MOTFT 1","38","Greedy Baseline 2","31","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","45","Greedy Baseline 2","44","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","42","Greedy Baseline 2","41","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","52","Greedy Baseline 2","40","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","52","Greedy Baseline 2","39","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","57","Greedy Baseline 2","35","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","41","Greedy Baseline 2","49","Greedy Baseline 2"
"MCTS HP MOTFT 1","48","Greedy Baseline 2","45","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","51","Greedy Baseline 2","44","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","44","Greedy Baseline 2","41","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","51","Greedy Baseline 2","38","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","66","Greedy Baseline 2","30","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","50","Greedy Baseline 2","43","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","51","Greedy Baseline 2","37","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","49","Greedy Baseline 2","42","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","48","Greedy Baseline 2","39","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","59","Greedy Baseline 2","37","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","59","Greedy Baseline 2","35","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","54","Greedy Baseline 2","42","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","49","Greedy Baseline 2","38","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","47","Greedy Baseline 2","39","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","56","Greedy Baseline 2","43","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","51","Greedy Baseline 2","39","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","51","Greedy Baseline 2","37","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","60","Greedy Baseline 2","37","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","57","Greedy Baseline 2","37","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","60","Greedy Baseline 2","37","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","54","Greedy Baseline 2","41","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","46","Greedy Baseline 2","40","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","59","Greedy Baseline 2","36","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","54","Greedy Baseline 2","42","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","54","Greedy Baseline 2","41","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","51","Greedy Baseline 2","35","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","51","Greedy Baseline 2","44","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","46","Greedy Baseline 2","42","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","60","Greedy Baseline 2","35","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","49","Greedy Baseline 2","41","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","49","Greedy Baseline 2","40","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","50","Greedy Baseline 2","47","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","44","Greedy Baseline 2","51","Greedy Baseline 2"
"MCTS HP MOTFT 1","49","Greedy Baseline 2","36","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","47","Greedy Baseline 2","43","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","50","Greedy Baseline 2","42","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","51","Greedy Baseline 2","42","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","52","Greedy Baseline 2","35","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","45","Greedy Baseline 2","43","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","52","Greedy Baseline 2","45","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","48","Greedy Baseline 2","50","Greedy Baseline 2"
"MCTS HP MOTFT 1","53","Greedy Baseline 2","42","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","59","Greedy Baseline 2","38","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","48","Greedy Baseline 2","42","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","53","Greedy Baseline 2","37","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","51","Greedy Baseline 2","36","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","51","Greedy Baseline 2","42","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","55","Greedy Baseline 2","33","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","57","Greedy Baseline 2","39","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","59","Greedy Baseline 2","38","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","45","Greedy Baseline 2","40","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","57","Greedy Baseline 2","37","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","51","Greedy Baseline 2","31","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","49","Greedy Baseline 2","45","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","45","Greedy Baseline 2","34","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","54","Greedy Baseline 2","41","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","47","Greedy Baseline 2","41","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","48","Greedy Baseline 2","38","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","54","Greedy Baseline 2","41","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","47","Greedy Baseline 2","40","MCTS HP MOTFT 1"
"MCTS HP MOTFT 1","53","Greedy Baseline 2","39","MCTS HP MOTFT 1"
